date,open,high,low,close,volume
07/01/87,0.7836,0.8014,0.7791,0.7991,108640000
08/01/87,0.7991,0.8059,0.7946,0.7991,72800000
09/01/87,0.7991,0.817,0.7925,0.8104,59920000
12/01/87,0.8125,0.817,0.7991,0.8125,58240000
13/01/87,0.8059,0.8104,0.797,0.797,52931200
14/01/87,0.797,0.8616,0.7946,0.8595,126000000
15/01/87,0.8616,0.9175,0.8571,0.8907,136640000
16/01/87,0.8929,0.8929,0.8527,0.8705,101920000
19/01/87,0.8705,0.9488,0.855,0.9488,90720000
20/01/87,0.9821,0.9955,0.9196,0.922,193760000
21/01/87,0.9086,0.913,0.875,0.875,133280000
22/01/87,0.8729,0.9398,0.8661,0.9375,118160000
23/01/87,0.9375,0.9464,0.8973,0.8973,114800000
26/01/87,0.8929,0.9018,0.8839,0.8884,87920000
27/01/87,0.8929,0.9488,0.8907,0.942,94640000
28/01/87,0.9464,0.9955,0.9309,0.9889,103600000
29/01/87,0.9979,1.0223,0.9532,0.9666,139440000
30/01/87,0.9643,0.9979,0.9398,0.9911,102480000
02/02/87,0.9911,1,0.9688,0.9979,61600000
03/02/87,1,1.0023,0.9777,0.9911,44654400
04/02/87,0.9911,0.9911,0.9711,0.9821,54460000
05/02/87,0.9821,0.9845,0.9488,0.9621,85120000
06/02/87,0.9643,0.9643,0.9443,0.9643,73360000
09/02/87,0.9443,0.9532,0.933,0.9398,39250400
10/02/87,0.9375,0.942,0.922,0.942,41697600
11/02/87,0.9464,1.0134,0.942,1.0089,85680000
12/02/87,1.0179,1.0693,1.0179,1.047,177520000
13/02/87,1.047,1.1161,1.0357,1.1095,127680000
17/02/87,1.1095,1.1875,1.105,1.1852,102480000
18/02/87,1.1896,1.203,1.1318,1.1339,117600000
19/02/87,1.1339,1.1339,1.1027,1.1139,78400000
20/02/87,1.1139,1.1161,1.0827,1.0938,47661600
23/02/87,1.0871,1.1473,1.0648,1.1273,87920000
24/02/87,1.1295,1.1786,1.1273,1.1696,89040000
25/02/87,1.1696,1.2411,1.1539,1.2343,113680000
26/02/87,1.2411,1.2745,1.2143,1.2343,124880000
27/02/87,1.2343,1.2679,1.2098,1.25,101360000
02/03/87,1.2545,1.2589,1.1964,1.2054,99120000
03/03/87,1.2054,1.2164,1.1563,1.1607,109200000
04/03/87,1.1741,1.2188,1.1673,1.2075,112000000
05/03/87,1.2054,1.2321,1.2009,1.2232,84560000
06/03/87,1.2009,1.2209,1.192,1.2009,44094400
09/03/87,1.1875,1.192,1.1518,1.1539,63840000
10/03/87,1.1518,1.1941,1.1518,1.192,61040000
11/03/87,1.2009,1.2143,1.183,1.183,54616800
12/03/87,1.1786,1.183,1.1363,1.1652,75600000
13/03/87,1.1652,1.1786,1.1339,1.1339,49403200
16/03/87,1.1339,1.1652,1.1161,1.1652,61600000
17/03/87,1.1696,1.2143,1.1607,1.1964,61040000
18/03/87,1.2009,1.2054,1.1563,1.1786,75600000
19/03/87,1.1741,1.2232,1.1696,1.2209,51682400
20/03/87,1.2188,1.2455,1.2188,1.2188,86800000
23/03/87,1.2143,1.2188,1.183,1.2054,61600000
24/03/87,1.2098,1.2232,1.183,1.183,67200000
25/03/87,1.1875,1.1964,1.1652,1.192,68320000
26/03/87,1.192,1.2098,1.1875,1.2009,35756000
27/03/87,1.2009,1.2054,1.1563,1.1607,33476800
30/03/87,1.1339,1.1473,1.1116,1.1161,64960000
31/03/87,1.1116,1.1563,1.1116,1.1518,68320000
01/04/87,1.125,1.1964,1.1139,1.192,54465600
02/04/87,1.2188,1.2813,1.1964,1.2813,194320000
03/04/87,1.2768,1.2834,1.2545,1.2813,134960000
06/04/87,1.2768,1.2991,1.2366,1.25,72240000
07/04/87,1.2455,1.2545,1.2098,1.2098,64960000
08/04/87,1.2098,1.2545,1.2054,1.2321,57680000
09/04/87,1.2277,1.2768,1.2098,1.2679,59360000
10/04/87,1.2723,1.2768,1.2455,1.2545,54460000
13/04/87,1.25,1.2545,1.2054,1.2054,35554400
14/04/87,1.192,1.2455,1.1875,1.2143,101920000
15/04/87,1.2411,1.2679,1.2277,1.2679,87360000
16/04/87,1.2723,1.308,1.2679,1.2768,86800000
20/04/87,1.2768,1.2991,1.2634,1.27,37290400
21/04/87,1.2545,1.3393,1.2411,1.3348,108080000
22/04/87,1.3682,1.375,1.3214,1.3259,100800000
23/04/87,1.3259,1.3795,1.3259,1.3571,76160000
24/04/87,1.3527,1.3661,1.3304,1.3348,63840000
27/04/87,1.3259,1.3438,1.308,1.3393,95760000
28/04/87,1.3527,1.3905,1.3482,1.375,81200000
29/04/87,1.3795,1.4241,1.375,1.3884,72800000
30/04/87,1.3929,1.4286,1.3884,1.4152,63280000
01/05/87,1.4196,1.4286,1.4063,1.4286,33180000
04/05/87,1.4196,1.433,1.4107,1.4241,35526400
05/05/87,1.4286,1.442,1.3929,1.433,57680000
06/05/87,1.4375,1.4688,1.4152,1.4286,71680000
07/05/87,1.4241,1.4464,1.4241,1.433,45197600
08/05/87,1.4375,1.4464,1.4107,1.4107,46183200
11/05/87,1.375,1.4196,1.3705,1.375,49319200
12/05/87,1.3571,1.3661,1.3393,1.3482,64960000
13/05/87,1.3527,1.4039,1.3482,1.4018,77840000
14/05/87,1.3973,1.4196,1.3973,1.4152,37122400
15/05/87,1.4152,1.4152,1.3929,1.3973,36489600
18/05/87,1.3973,1.4018,1.3482,1.3527,60480000
19/05/87,1.3527,1.3527,1.2968,1.308,59920000
20/05/87,1.3036,1.3393,1.2946,1.3304,72240000
